the_geom,cartodb_id,year,lead_ppb,address,zipcode,latitude,longitude
0101000020E6100000D656EC2FBBB753C0A2D288997D764540,288,2014,3.2,"757 Bird Buffalo, NY, 14209",14209,42.925708,-78.8708
0101000020E610000022AB5B3D27B653C0A1F65B3B51764540,289,2014,3.3,"361 Humboldt Buffalo, NY, 14208",14208,42.924354,-78.846145
0101000020E610000039865B994BB353C0DDBCCC0B0B6B4540,290,2014,3.5,"143 Densmore Buffalo, NY, 14220",14220,42.8362746,-78.8014892
0101000020E610000092280F66EEB653C08A05BEA25B754540,291,2014,3.6,"159 Chester Buffalo, NY, 14208",14208,42.916859,-78.8583007
0101000020E61000002BAF4B43C3B753C01F3A4E1B1F7A4540,292,2014,3.9,"155 Avery Buffalo, NY, 14216",14216,42.9540743,-78.8712929
0101000020E6100000957EC2D9ADB353C090108A52E7754540,293,2014,4.1,"223 Hagen Buffalo, NY, 14215",14215,42.9211219,-78.807486
0101000020E6100000E08101840FB553C045B9347EE16B4540,294,2014,5.5,"82 West Woodside Buffalo, NY, 14220",14220,42.842819,-78.829072
0101000020E610000000FB8D1BA3B553C0005471E316794540,295,2014,6.2,"158 Huntington Buffalo, NY, 14214",14214,42.946011,-78.8380803
0101000020E6100000CA5CCFC680B353C0850B790437784540,296,2014,8.2,"63 Godfrey Buffalo, NY, 14215",14215,42.939179,-78.8047349
0101000020E6100000E38BF67821B753C03A89AD45B0794540,297,2014,10.2,"201 Commonwealth Buffalo, NY, 14216",14216,42.9506919,-78.861418
0101000020E610000044C4CDA964B953C0F584251E50764540,298,2014,11,"72 Potomac Buffalo, NY, 14213",14213,42.92432,-78.896769
0101000020E6100000DB519CA38EB353C08109DCBA9B714540,299,2014,18.7,"228 Ludington Buffalo, NY, 14206",14206,42.887565,-78.805581
0101000020E610000099C7500427B553C0C7AEFE19EF6B4540,300,2014,33.5,"47 Altruria Buffalo, NY, 14220",14220,42.8432343,-78.8305064
0101000020E61000007157AF22A3B453C041118B18767A4540,236,2011,19,"48 Allenhurst Road Buffalo, NY, 14207",14214,42.956729,-78.822457
